cz90,civ_noninst_pop,civ_noninst_pop_employed,civ_noninst_pop_local,civ_noninst_pop_immigrant,civ_noninst_pop_employed_local,civ_noninst_pop_employed_immigrant,civ_noninst_pop_employed_central_america,civ_noninst_pop_employed_south_america,civ_noninst_pop_employed_mexico,civ_noninst_labforce,civ_noninst_labforce_local,civ_noninst_labforce_immigrant,civ_noninst_labforce_central_america,civ_noninst_labforce_south_america,civ_noninst_labforce_mexico,count,count_local,count_immigrant,count_central_america,count_south_america,count_mexico,county_prop_incz,county_prop_inpuma,EPOP,state_fips,state_abbv,states_count,states_abbv,cbsa10,cbsa_name
1001,55674.327650651336,35665.91969820857,53633.86618323624,2040.4614674150944,34329.47483174503,1336.444866463542,44.266759410500526,43.65920162945986,738.7549884021282,37815.025339864194,36372.528995744884,1442.4963441193104,44.266759410500526,44.55564660578966,790.2144479900599,3182.459018409252,3065.2331167906523,117.22590161859989,5.428448997437954,4.505864717066288,46.45309377461672,0.4437733597316005,0.29519684765066817,64.06169809900042,37,NC,2,NC; TN,14380,"Boone, NC"
1002,104941.64677339792,68299.67176038027,99009.53102275729,5932.115750640631,63980.390400350094,4319.281360030174,965.138320505619,40.52933895587921,1456.919119656086,73295.2096670568,68853.91813412309,4441.291532933712,965.138320505619,49.52933895587921,1500.893068522215,5105.197133868933,4853.898038983345,251.2990948855877,50.577843964099884,7.804490774869919,64.62275171279907,0.8535910240615778,1.066452795032462,65.0834762559623,37,NC,1,NC,25860,"Hickory-Lenoir-Morganton, NC"
1100,281307.59852324426,199764.39777572453,258741.5796291083,22566.018894135952,183109.13225136697,16655.265524357557,2020.9616728127003,1039.6160950809717,7138.676715403795,212131.2524293512,194510.39883838594,17620.85359096527,2079.9616728127003,1058.2486462444067,7555.632230848074,13559.473296061158,12683.997343346477,875.4759527146816,97.49421380460262,66.62766747176647,327.4710690230131,0.9561641024459595,3.057063110265947,71.01279838312584,37,NC,1,NC,25860,"Hickory-Lenoir-Morganton, NC"
1201,31271.78724089265,20283.822441637516,29826.581800580025,1445.205440312624,19334.755789130926,949.0666525065899,37.3943255096674,89.77666094899178,564.102273479104,21220.771514594555,20256.581139609218,964.1903749853373,40.58506228029728,89.77666094899178,572.8445224165916,1537.0375389307737,1465.6320550590754,71.40548387169838,3.637334257364273,5.61527407169342,32.09803706407547,0.2569948567833631,0.11809279836868591,64.8630098605727,37,NC,2,GA; NC,NA,NA
1202,38766.76874125004,24922.670819342136,37304.170335531235,1462.5984057188034,23953.92478954792,968.7460297942162,41.38888430595398,31.14570641517639,648.7673982381821,26224.55517888069,25224.6634426713,999.8917362093925,44.62091398239136,31.14570641517639,656.2325968146324,1955.2175818681717,1882.0460374355316,73.17154443264008,4.498037338256836,3.909965932369232,35.83137321472168,0.29662786523613605,0.17461544787146366,64.28874943302407,37,NC,1,NC,19000,"Cullowhee, NC"
1203,296728.1009526253,213482.92622870207,274810.6538809538,21917.447071671486,198038.65559506416,15444.270633637905,1541.34578871727,1555.4592093229294,5862.921301245689,221652.78210651875,205971.0522635579,15681.729842960835,1541.34578871727,1580.4592093229294,5885.59695905447,13352.625731229782,12596.993627548218,755.6321036815643,56.410789370536804,65.67565780878067,206.99447309970856,0.9538452077012449,3.5404184130900127,71.94563829422617,37,NC,1,NC,11700,"Asheville, NC"
1204,43847.14317214489,28590.269412755966,41799.50902879238,2047.6341433525085,27224.50612604618,1365.7632867097855,48.631529331207275,165.1720722913742,753.2756798267365,29898.794698357582,28513.83987390995,1384.9548244476318,52.208762884140015,165.1720722913742,765.3127504587173,2134.3000699281693,2034.867676973343,99.43239295482635,4.71674644947052,8.85073184967041,40.67077100276947,0.30843521610195523,0.19023589874997526,65.20440636351132,37,NC,2,GA; NC,NA,NA
1301,48201.765460163355,31663.409927397966,45910.18087309599,2291.5845870673656,30093.62729242444,1569.782634973526,151.5138302743435,217.0870289504528,451.06412422657013,34759.75649821758,33059.324232548475,1700.4322656691074,191.75192946195602,259.8089614212513,452.0576575398445,2240.417621433735,2166.8961562514305,73.52146518230438,5.961199879646301,7.948266506195068,20.367432922124863,0.4967666566371918,0.2467771111464936,65.68931578567674,45,SC,1,SC,NA,NA
1302,419388.0673083961,274284.87091365457,397730.1827840209,21657.8845243752,258696.87258335948,15587.998330295086,1986.9374062120914,1369.2967366278172,4212.467281728983,294365.66992247105,278033.8707551956,16331.799167275429,1986.9374062120914,1401.2967366278172,4527.87180057168,19114.147792428732,18247.217582970858,866.9302094578743,74.22895398736,65.58008369803429,220.4958996474743,0.9552769703801014,4.030823018429552,65.40121007113915,45,SC,1,SC,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
1400,419474.3111168295,261435.1317513734,388817.768805027,30656.542311802506,240918.49640500546,20516.635346367955,2422.332447528839,1231,7592.7686081677675,284167.0808944851,262266.5560388863,21900.524855598807,2674.332447528839,1307,8102.772728413343,22404.432796254754,20890.40492975712,1514.0278664976358,168.77077797055244,79,528.5771753191948,0.9831289878127929,6.015998237862213,62.32446774995955,37,NC,1,NC,22180,"Fayetteville, NC"
1500,311630.6879751682,206967.867718935,295790.2303237915,15840.457651376724,196129.50308799744,10838.364630937576,1227.6675491333008,666,4085.231377840042,218782.918541193,207348.443420887,11434.475120306015,1256.6675491333008,725,4294.227256298065,13898.56715798378,13302.595026016235,595.9721319675446,61.2292218208313,41,181.42282390594482,0.9741014716256586,3.7630299303219203,66.41446933988314,37,NC,1,NC,48900,"Wilmington, NC"
1600,138973.2497739792,93572.64258003235,129332.0495262146,9641.200247764587,86727.2039527893,6845.438627243042,688.2224435806274,266.0313034057617,4145.303263664246,101611.9661436081,94218.1477022171,7393.818441390991,715.143141746521,361.83731746673584,4427.48178768158,6314.895371437073,5927.864068031311,387.0313034057617,31.9178524017334,19.293208122253418,234.14598751068115,0.9276017299467298,1.6269238665563535,67.33140567139024,37,NC,1,NC,40580,"Rocky Mount, NC"
1701,1405863.522375822,1029089.8305423856,1194888.9673172832,210974.5550585389,870321.230587244,158768.59995514154,18154.493301570415,7396.7575144171715,41990.016649365425,1078522.5456264615,914160.1413134933,164362.40431296825,19124.493301570415,7697.7575144171715,42876.201854527,62145.47433888912,54125.844231426716,8019.630107462406,738.0985959768295,399.3184385895729,1596.6818677186966,0.9735651557926872,14.903353053187647,73.19983868727795,37,NC,1,NC,39580,"Raleigh, NC"
1702,41636.08285430074,27354.23771595955,38577.350362569094,3058.7324917316437,24984.253054082394,2369.9846618771553,158.76644656062126,47.55408498644829,1623.1306436955929,29694.954903423786,27201.057101368904,2493.897802054882,161.74241718649864,47.55408498644829,1702.8525422215462,1863.0013659596443,1746.9410975575447,116.06026840209961,8.375192195177078,3.7177999019622803,71.33945775032043,0.4574854099632182,0.2516891180620755,65.6983938947418,37,NC,1,NC,25780,"Henderson, NC"
1800,147377,96676,127994,19383,83677,12999,4587,166,6460,103739,89817,13922,4961,166,6858,6806,6041,765,226,9,357,1,2,65.59775270225342,37,NC,1,NC,24140,"Goldsboro, NC"
1900,373301.60881368816,246143.39825347066,351937.3012842536,21364.30752943456,231685.99071341753,14457.40754005313,1030.2835961729288,1132.9721449613571,5979.133446022868,268658.10684268177,253153.8255840093,15504.281258672476,1099.3628975003958,1252.1661290973425,6538.206732973456,16392.204803600907,15614.353731647134,777.8510719537735,57.08249267935753,51.58226637542248,259.7319011539221,0.9245775253937052,4.434032324070159,65.93687046666837,37,NC,1,NC,27340,"Jacksonville, NC"
2000,745466.4879998565,536661.1432561874,685182.7023487091,60283.785651147366,491376.3842884302,45284.758967757225,4874.251780986786,2752.4855380654335,3030.211680293083,570361.0441747308,523508.0306317806,46853.01354295015,5161.251780986786,2799.540868461132,3151.211680293083,35705.303461015224,32972.48873478174,2732.8147262334824,191.87690371274948,172.75380742549896,137.05533039569855,0.9700135774984715,8.33106299889727,71.98997565887775,51,VA,2,NC; VA,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
2100,74626.66753575206,50408.576484292746,71140.33451586962,3486.3330198824406,47624.724427610636,2783.85205668211,217.5800415277481,291.9119721651077,1462.7913956344128,54231.78708028793,51380.679141521454,2851.1079387664795,217.5800415277481,291.9119721651077,1478.539581924677,4303.026903063059,4151.604145169258,151.42275789380074,7.76175320148468,11.26767298579216,60.83784672617912,0.6394124738248941,0.770525495937382,67.54767182943425,37,NC,1,NC,47820,"Washington, NC"
2200,89036.88904953003,56952.253398895264,86379.76413726807,2657.124912261963,55237.652629852295,1714.6007690429688,72.56676483154297,58.222171783447266,560.2829284667969,59981.49393081665,58205.29579162598,1776.1981391906738,72.56676483154297,58.222171783447266,576.3151206970215,4543.86079788208,4418.134658813477,125.72613906860352,9.281795501708984,4.218997955322266,35.43958282470703,0.8437995910644531,0.7119977498805383,63.96478359347606,51,VA,2,VA; NA,NA,NA
2300,166937,114093,160237,6700,109953,4140,464,474,314,119844,115565,4279,464,474,314,8012,7692,320,20,30,17,1,2,68.34494450002097,51,VA,2,VA; NA,31340,"Lynchburg, VA"
2400,811367.5228209794,601722.0280651227,732026.8373390511,79340.68548192829,541512.9485082179,60209.07955690473,11466.392425842583,3921.6598611325026,5517.299175724387,634570.7181002945,571662.2026018351,62908.51549845934,11936.392425842583,4087.6598611325026,5820.017723038793,37521.4477757588,34227.57078397274,3293.8769917860627,572.5066349804401,210.37190204113722,248.1341349259019,0.9662296397528318,7.736342995878548,74.16146334931464,51,VA,1,VA,40060,"Richmond, VA"
2500,368686.4074986279,259318.34860321134,342855.56018686667,25830.84731176123,240054.6945965849,19263.654006626457,2281.0787231326103,770.0023543722928,1899.9386939145625,275992.57584535703,255895.18982413784,20097.386021219194,2316.0787231326103,775.9470235593617,1975.007573325187,16532.066965319216,15418.932964451611,1113.1340008676052,82.99540243297815,51.23360946774483,81.40963455662131,0.8663541107949466,3.2924344400371135,70.33574965851606,51,VA,1,VA,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
2600,78210.91872614622,48764.533613175154,75696.92250709236,2513.9962190538645,46947.68673141301,1816.846881762147,128.49535566568375,99.5098298639059,763.6927845329046,52798.60211022198,50825.08846561611,1973.513644605875,177.51938658952713,99.5098298639059,790.1947277635336,4938.216536134481,4790.6577225625515,147.55881357192993,10.141758471727371,6.46591979265213,45.423693493008614,0.7234821949454113,0.9423538634427813,62.35003297164054,37,NC,2,NC; VA,40260,"Roanoke Rapids, NC"
2700,310216.813129127,197032.283310391,297229.2895787731,12987.523550353944,188178.91341941804,8853.369890972972,957.6821057200432,343,1966.262548752129,216983.96555335075,207377.52870325,9606.436850100756,1015.6821057200432,403,1975.3295078799129,11773.847124166787,11297.231977574527,476.6151465922594,46.42678365111351,21.106695912778378,79.05444468557835,0.9732732331925926,3.011384017803611,63.51437928942194,28,MS,1,MS,25060,"Gulfport-Biloxi-Pascagoula, MS"
2800,71213.71167209744,42750.95856359601,69360.53772938251,1853.1739427149296,41554.4732041657,1196.485359430313,136.60008588433266,0,720.4033270180225,45823.943929195404,44585.41428771615,1238.5296414792538,155.5439196228981,0,739.2347423732281,2899.4696110785007,2838.265627205372,61.20398387312889,8.226283997297287,0.6557945609092712,33.19144466519356,0.548868959083217,0.5012565153850774,60.03192020160697,28,MS,1,MS,29860,"Laurel, MS"
2900,111678.8320260644,69880.95335008204,108208.39306612313,3470.438959941268,67742.32682107389,2138.62652900815,212.9588925242424,94.14643383026123,595.0104985386133,76140.32368387282,73911.90037097037,2228.4233129024506,212.9588925242424,108.43651753664017,605.7915254682302,4525.515030160546,4386.381651505828,139.1333786547184,11.87774920463562,14.527593240141869,34.24315705895424,0.7300604361035901,0.7630076379200388,62.57314128587298,28,MS,1,MS,25620,"Hattiesburg, MS"
3001,21718.728427797556,12214.213255137205,21463.027529001236,255.70089879631996,12041.104660958052,173.10859417915344,0,21.943342924118042,99.35458046197891,13236.712081670761,13057.50811445713,179.20396721363068,0,21.943342924118042,99.35458046197891,1137.3966082334518,1127.0344740748405,10.362134158611298,0,0.3047686517238617,3.961992472410202,0.3047686517238617,0.0928839310735805,56.238160055007505,28,MS,1,MS,NA,NA
3002,23430.475577667356,15593.064433507621,22706.767388872802,723.7081887945533,15049.167693413794,543.8967400938272,54.41842528432608,13.445954650640488,82.16935198009014,16870.926244415343,16321.129546582699,549.796697832644,54.41842528432608,13.877223774790764,82.60062110424042,1172.1636976525187,1139.8352571353316,32.32844051718712,2.829056076705456,1.4439143761992455,4.887312486767769,0.2236938272436888,0.08046580595748504,66.55035396878617,28,MS,1,MS,27140,"Jackson, MS"
3003,375900.93876233697,253692.64123424888,364767.6450910568,11133.293671280146,246130.83059558272,7561.810638666153,1175.6702649891376,408.9202529788017,1969.7881555259228,273699.19640147686,265934.70703980327,7764.4893616735935,1236.0681290626526,437.9202529788017,1988.834659010172,17020.68192216754,16516.36011224985,504.32180991768837,65.59168419241905,26.847687661647797,92.7932758629322,0.8696623877455345,3.98588765202624,67.48922789858895,28,MS,1,MS,27140,"Jackson, MS"
3101,62468.39628455043,36013.53969016671,61509.156452447176,959.2398321032524,35473.55286169052,539.9868284761906,43.98399344086647,17.853562831878662,162.35400465130806,38974.72742494941,38394.21456545591,580.512859493494,67.93171611428261,20.563478618860245,163.94807276129723,2751.0294046998024,2701.778922379017,49.25048232078552,4.638115972280502,2.7099157869815826,8.203307569026947,0.3590559853947939,0.20828470908507946,57.65081518360271,28,MS,1,MS,32620,"McComb, MS"
3102,27168.28316438198,15081.855013132095,26932.661581009626,235.6215833723545,14966.247503578663,115.60750955343246,4.147354602813721,0,51.064303547143936,16246.484027534723,16116.360776871443,130.1232506632805,18.663095712661743,0,51.064303547143936,1228.6538010835648,1213.1012213230133,15.552579760551453,1.5552579760551453,0,2.0736773014068604,0.25920966267585754,0.06718964922453186,55.5127275502805,28,MS,1,MS,15020,"Brookhaven, MS"
3201,13181.729025319219,8054.127115532756,13106.127961948514,75.60106337070465,8004.463651031256,49.66346450150013,0,0,10.254399552941322,8584.742025732994,8535.078561231494,49.66346450150013,0,0,10.254399552941322,737.9146344959736,731.2794347852468,6.635199710726738,0,0,1.608533263206482,0.20106665790081024,0.04042780091940146,61.10068792995622,22,LA,1,LA,NA,NA
3202,36587.66967450082,20945.238407935947,36288.50938698277,299.16028751805425,20786.218145154417,159.02026278153062,7.226625390350819,0,64.43387455120683,22501.554548859596,22329.415256351233,172.13929250836372,19.5002273991704,0.473439522087574,64.43387455120683,1811.4479742757976,1790.7733998149633,20.674574460834265,1.5855656564235687,0.067634217441082,3.8889684975147247,0.1877216838935152,0.07656940556585724,57.24671342633605,28,MS,2,LA; MS,35020,"Natchez, MS-LA"
3203,45475.50719290972,26678.27092283964,44623.944075502455,851.5631174072623,26103.780801311135,574.4901215285063,111.0856271982193,4.633794128894806,154.1392145678401,28806.676572464406,28224.97687471658,581.6996977478266,116.3485626578331,5.723912954330444,154.1392145678401,2289.1956846117973,2248.6873598992825,40.50832471251488,5.820605114102364,2.9360077381134033,8.644555419683456,0.3218927290639533,0.22961596323277395,58.665142116324034,28,MS,2,LA; MS,46980,"Vicksburg, MS"
3300,840447.8324206471,572884.3840222657,766912.5196186006,73535.31280204654,520126.63708528876,52757.74693697691,18668.535276710987,3132.93246909976,5153.548495352268,612804.7359159589,557290.9947688878,55513.74114707112,19591.535276710987,3367.93246909976,5462.375671595335,41499.82133233547,38344.425523638725,3155.395808696747,889.2047958076,210.40159860253334,247.05374798178673,0.9725586487128887,10.078579145704936,68.16418127610031,22,LA,1,LA,35380,"New Orleans-Metairie, LA"
3400,179425.28030911088,115755.13655978441,172141.45891094208,7283.821398168802,110789.62172907591,4965.514830708504,800.9372341036797,348.7645091712475,2058.0255390405655,123840.91046139598,118803.70415711403,5037.20630428195,844.400716304779,348.7645091712475,2058.0255390405655,7355.131309717894,7108.317648440599,246.81366127729416,30.891696512699127,23.517633944749832,77.47986623644829,0.8670309360662101,2.0921285116102775,64.51439638849297,22,LA,1,LA,26380,"Houma-Thibodaux, LA"
3500,611636.1642802954,419480.6138986945,582790.4771674275,28845.687112867832,397829.36089783907,21651.253000855446,4282.464714407921,968.0675297379494,4450.4514721632,448581.2618230581,426203.00303548574,22378.258787572384,4407.464714407921,1041.0675297379494,4605.624293386936,21890.178553819656,20922.574365854263,967.6041879653931,165.79520374536514,52.59840124845505,156.9462507367134,0.9632453725447716,6.517939661795314,68.58335696881039,22,LA,1,LA,12940,"Baton Rouge, LA"
3600,109594.38631427288,68097.79345905781,106640.17078483105,2954.2155294418335,66377.27674126625,1720.5167177915573,90.86775779724121,57.239532470703125,502.61701333522797,73205.2919511795,71421.09625351429,1784.1956976652145,116.62554740905762,57.239532470703125,502.61701333522797,6576.6758716106415,6353.7266746759415,222.9491969347,10.016918182373047,5.7239532470703125,47.738932609558105,0.6485579721886943,0.773792968362855,62.136205830634935,22,LA,1,LA,10780,"Alexandria, LA"
3700,215162.7068094313,139382.32227417827,208758.51413610578,6404.192673325539,135612.44318708777,3769.8790870904922,335.13224598765373,214.76046991348267,750.4809120297432,149932.26261812449,146020.06250825524,3912.2001098692417,345.37445744872093,250.76046991348267,764.4809120297432,10220.350074023008,9886.41238233447,333.9376916885376,25.983082234859467,18.276046991348267,51.35485830903053,0.8914499569194745,2.0809435922941484,64.77996319205475,22,LA,1,LA,29340,"Lake Charles, LA"
3800,379953.716432631,246845.86140930653,365915.53796195984,14038.178470671177,237992.3763254881,8853.485083818436,1295.062747836113,380.23548859357834,2206.974430322647,264832.08734482527,255466.29373788834,9365.793606936932,1344.5992650985718,380.23548859357834,2237.974430322647,15339.868551433086,14793.682217895985,546.1863335371017,63.10830271244049,25.482365906238556,104.52013224363327,0.9348380422266205,4.485074892197307,64.96735016225966,22,LA,1,LA,29180,"Lafayette, LA"
3901,148720.99674987793,90793.43826687336,145226.37439835072,3494.622351527214,88305.14922833443,2488.289038538933,130.47395396232605,206,626.7057141065598,97759.28967094421,95169.52927923203,2589.7603917121887,198.47395396232605,215.22395777702332,626.7057141065598,7344.502410054207,7180.312308311462,164.19010174274445,9.270833015441895,10.317708253860474,30.812499046325684,0.863666386218366,1.4340887605730046,61.04950898061264,22,LA,1,LA,33740,"Monroe, LA"
3902,10197.535677909851,5764.664724417031,10058.521443255246,139.0142346546054,5689.484828904271,75.17989551275969,13.714408800005913,0,47.25237213820219,6261.749705195427,6183.452898591757,78.29680660367012,13.714408800005913,1.7454702109098434,47.25237213820219,609.044427163899,601.4391641020775,7.605263061821461,0.9974115490913391,0.24935288727283478,2.9922346472740173,0.12467644363641739,0.015544215597824762,56.52997848200313,22,LA,1,LA,NA,NA
4001,18451.233090609312,11312.386720582843,18044.95897576213,406.2741148471832,11056.653576895595,255.73314368724823,14.273181572556496,3.283210337162018,153.7118447124958,12245.685279846191,11961.4028608948,284.2824189513922,14.273181572556496,3.283210337162018,166.25013069808483,925.1288613379002,905.749136954546,19.379724383354187,2.8200381249189377,0.7675463110208511,9.456820026040077,0.19390475030532195,0.05894540690414929,61.30965158279985,05,AR,1,AR,31620,"Magnolia, AR"
4002,313180.59176826477,198042.4626634121,302901.3654603958,10279.226307868958,191646.66579294205,6395.796870470047,661.0643973350525,212.01379942893982,1669.4415817260742,212114.27571940422,205346.6668894291,6767.608829975128,680.0643973350525,212.01379942893982,1773.2443416118622,14181.635870218277,13743.488676309586,438.1471939086914,37.20643973350525,13.004599809646606,97.44047832489014,0.9179907948509367,3.361104800645137,63.23586705843888,22,LA,1,LA,43340,"Shreveport-Bossier City, LA"
4003,44657.90172882378,25850.296894609928,43859.3041536212,798.5975752025843,25415.13375222683,435.1631423830986,29.92314025759697,3.942129760980606,172.0695860683918,28135.64391747117,27694.44459564984,441.199321821332,29.92314025759697,5.409143269062042,172.85801202058792,2682.851389274001,2630.393540933728,52.4578483402729,2.677953988313675,1.52361661195755,15.052152276039124,0.20238793225228147,0.0948623043061203,57.88515781950686,22,LA,1,LA,40820,"Ruston, LA"
4004,14574.49423122406,8363.65456879139,14244.717545986176,329.7766852378845,8186.3655326366425,177.289036154747,9.538995027542114,2.0440703630447388,65.41025161743164,9165.475236535072,8986.414672732353,179.06056380271912,9.538995027542114,2.0440703630447388,65.81906569004059,894.0763767957687,872.2729595899582,21.803417205810547,0.9538995027542114,0.6813567876815796,5.9959397315979,0.13627135753631592,0.018569882884790445,57.385556137332635,22,LA,1,LA,NA,NA
4101,11563.544928073883,7083.1074957847595,11103.541923046112,460.003005027771,6770.656475067139,312.45102071762085,7.142903804779053,0,268.5731830596924,7469.8447160720825,7150.454874515533,319.3898415565491,7.142903804779053,0,275.5120038986206,686.5350971221924,662.6573901176453,23.87770700454712,1.8367466926574707,0,19.183798789978027,0.20408296585083008,0.041649856950471076,61.25377243606713,05,AR,1,AR,NA,NA
4102,82883.82690650225,50845.59815186262,80327.1984218359,2556.6284846663475,49129.581527888775,1716.0166239738464,35.537546932697296,0,1105.9288174510002,54437.693958342075,52643.3331862092,1794.3607721328735,35.537546932697296,0,1130.5838096737862,4544.153954923153,4420.858731687069,123.29522323608398,7.977379739284515,0,86.30203038454056,0.7253376980250383,1.052230449857582,61.34562079188187,05,AR,1,AR,38220,"Pine Bluff, AR"
4103,46436.63885653019,28153.02823084593,45580.39853364229,856.2403228878975,27619.317895054817,533.710335791111,21.501999139785767,6.143428325653076,311.7789875268936,30552.80492055416,29966.875443995,585.9294765591621,21.501999139785767,6.143428325653076,317.15448731184006,2279.979837357998,2238.5116961598396,41.468141198158264,7.679285407066345,2.3037856221199036,16.89442789554596,0.7679285407066345,0.5897142436318212,60.6267570696213,05,AR,1,AR,20980,"El Dorado, AR"
4200,476848.43204921484,333402.04013454914,448409.4296682477,28439.00238096714,312176.27820032835,21225.76193422079,2206.282531142235,421.4999181628227,8353.594003200531,349421.9004535675,327825.77493852377,21596.125515043736,2209.8767150640488,421.4999181628227,8548.376554965973,19088.213029265404,18152.717375814915,935.495653450489,90.66782701015472,32.123182475566864,308.304871737957,0.9452732540678626,4.078442185312117,69.91782246232472,05,AR,1,AR,30780,"Little Rock-North Little Rock-Conway, AR"
