ers90,state_fips,state_abbv,states_count,states_abbv,cbsa10,cbsa_name
11304,24,MD,3,DC; MD; VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
11401,26,MI,1,MI,32100,"Marquette, MI"
11402,26,MI,2,MI; WI,31940,"Marinette, WI-MI"
11403,26,MI,1,MI,42300,"Sault Ste. Marie, MI"
11500,26,MI,1,MI,27100,"Jackson, MI"
11600,26,MI,1,MI,19820,"Detroit-Warren-Dearborn, MI"
11700,26,MI,1,MI,29620,"Lansing-East Lansing, MI"
11800,26,MI,1,MI,34380,"Mount Pleasant, MI"
11900,26,MI,1,MI,40980,"Saginaw, MI"
12001,26,MI,1,MI,13660,"Big Rapids, MI"
12002,26,MI,1,MI,31220,"Ludington, MI"
12100,26,MI,1,MI,28020,"Kalamazoo-Portage, MI"
12200,26,MI,1,MI,24340,"Grand Rapids-Wyoming, MI"
12301,26,MI,1,MI,45900,"Traverse City, MI"
12302,26,MI,1,MI,NA,NA
12401,26,MI,1,MI,10980,"Alpena, MI"
12402,26,MI,1,MI,NA,NA
12501,39,OH,1,OH,19380,"Dayton, OH"
12502,39,OH,1,OH,NA,NA
12600,18,IN,1,IN,39980,"Richmond, IN"
12701,39,OH,2,KY; OH,17140,"Cincinnati, OH-KY-IN"
12702,21,KY,1,KY,32500,"Maysville, KY"
12800,18,IN,1,IN,17140,"Cincinnati, OH-KY-IN"
12901,21,KY,1,KY,30460,"Lexington-Fayette, KY"
12902,21,KY,1,KY,34460,"Mount Sterling, KY"
12903,21,KY,1,KY,19220,"Danville, KY"
13000,21,KY,1,KY,21060,"Elizabethtown-Fort Knox, KY"
13101,21,KY,2,IN; KY,31140,"Louisville/Jefferson County, KY-IN"
13102,18,IN,2,IN; KY,31500,"Madison, IN"
13103,21,KY,1,KY,12680,"Bardstown, KY"
13200,21,KY,1,KY,36980,"Owensboro, KY"
13300,39,OH,1,OH,22300,"Findlay, OH"
13400,39,OH,1,OH,30620,"Lima, OH"
13501,39,OH,2,MI; OH,45780,"Toledo, OH"
13502,39,OH,1,OH,19580,"Defiance, OH"
13600,18,IN,2,IN; MI,43780,"South Bend-Mishawaka, IN-MI"
13700,18,IN,2,IN; MI,21140,"Elkhart-Goshen, IN"
13800,18,IN,1,IN,47700,"Warsaw, IN"
13900,18,IN,1,IN,29020,"Kokomo, IN"
14000,18,IN,1,IN,26900,"Indianapolis-Carmel-Anderson, IN"
14100,18,IN,1,IN,23060,"Fort Wayne, IN"
14200,18,IN,1,IN,26900,"Indianapolis-Carmel-Anderson, IN"
14300,18,IN,1,IN,18020,"Columbus, IN"
14400,18,IN,1,IN,45460,"Terre Haute, IN"
14500,18,IN,2,IL; IN,29200,"Lafayette-West Lafayette, IN"
14600,18,IN,1,IN,14020,"Bloomington, IN"
14700,18,IN,2,IL; IN,21780,"Evansville, IN-KY"
14801,17,IL,1,IL,NA,NA
14802,18,IN,2,IL; IN,47180,"Vincennes, IN"
14900,18,IN,1,IN,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
15000,39,OH,1,OH,15940,"Canton-Massillon, OH"
